,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,21.47,88,90,2.57,US,1632182653
1,ushuaia,-54.8,-68.3,5.81,87,75,3.6,AR,1632182866
2,kapaa,22.0752,-159.319,28.99,74,90,6.69,US,1632182866
3,porto santo,33.072,-16.3415,22.21,64,40,6.17,PT,1632182867
4,bengkulu,-3.8004,102.2655,24.54,87,80,1.48,ID,1632182867
5,port elizabeth,-33.918,25.5701,15.45,57,63,8.38,ZA,1632182868
6,tiksi,71.6872,128.8694,1.6,72,100,2.56,RU,1632182868
7,aykhal,66.0,111.5,1.98,66,100,5.26,RU,1632182869
8,alofi,-19.0595,-169.9187,24.7,74,2,3.02,NU,1632182869
9,bara,10.3744,10.7288,25.07,76,99,2.51,NG,1632182869
10,barrow,71.2906,-156.7887,1.01,64,90,6.69,US,1632182870
11,port blair,11.6667,92.75,26.97,83,100,4.43,IN,1632182870
12,clyde river,70.4692,-68.5914,-1.19,74,58,2.14,CA,1632182871
13,hilo,19.7297,-155.09,26.85,65,90,4.12,US,1632182603
14,vaini,-21.2,-175.2,21.09,94,75,4.12,TO,1632182871
15,komsomolskiy,40.4272,71.7189,14.68,28,0,1.09,UZ,1632182872
16,boguchany,58.3814,97.4531,2.24,95,36,2.48,RU,1632182872
17,butaritari,3.0707,172.7902,28.22,71,85,6.43,KI,1632182872
18,hobart,-42.8794,147.3294,9.92,50,75,5.14,AU,1632182873
19,hermanus,-34.4187,19.2345,10.98,66,13,2.8,ZA,1632182873
20,geraldton,-28.7667,114.6,18.23,42,0,5.66,AU,1632182874
21,lages,-27.8161,-50.3261,18.9,92,41,0.58,BR,1632182874
22,bambous virieux,-20.3428,57.7575,20.41,65,38,6.65,MU,1632182874
23,ariquemes,-9.9133,-63.0408,29.76,46,58,0.89,BR,1632182875
24,east london,-33.0153,27.9116,14.17,52,39,10.91,ZA,1632182875
25,davila,18.4726,120.5763,28.21,76,67,0.98,PH,1632182876
26,yellowknife,62.456,-114.3525,6.84,75,100,1.75,CA,1632182876
